,RSSI_1,RSSI_2
0,-43,-58
1,-45,-68
2,-43,-59
3,-43,-63
4,-43,-58
5,-43,-61
6,-43,-57
7,-43,-61
8,-43,-59
9,-43,-62
10,-44,-59
11,-43,-61
12,-44,-60
13,-43,-64
14,-44,-62
15,-43,-72
16,-44,-62
17,-43,-68
18,-44,-59
19,-43,-61
20,-43,-59
21,-43,-61
22,-43,-57
23,-44,-67
24,-43,-68
25,-44,-68
26,-43,-69
27,-43,-61
28,-43,-67
29,-45,-64
30,-43,-67
31,-45,-64
32,-44,-66
33,-44,-63
34,-44,-62
35,-43,-64
36,-43,-69
37,-43,-64
38,-44,-68
39,-43,-65
40,-44,-63
41,-43,-66
42,-44,-66
43,-43,-63
44,-43,-61
45,-44,-63
46,-44,-67
47,-44,-65
48,-45,-65
49,-44,-60
50,-44,-67
51,-43,-60
52,-44,-65
53,-43,-65
54,-45,-70
55,-44,-66
56,-44,-65
57,-45,-60
58,-43,-64
59,-44,-65
60,-44,-64
61,-43,-64
62,-44,-60
63,-44,-62
64,-43,-71
65,-43,-65
66,-43,-69
67,-44,-58
68,-43,-63
69,-45,-63
70,-44,-66
71,-44,-57
72,-43,-55
73,-44,-54
74,-43,-56
75,-44,-56
76,-43,-62
77,-44,-62
78,-43,-60
79,-43,-63
80,-43,-59
81,-43,-62
82,-45,-60
83,-43,-74
84,-45,-64
85,-43,-75
86,-45,-60
87,-43,-61
88,-45,-62
89,-43,-62
90,-45,-71
91,-43,-62
92,-43,-70
93,-43,-64
94,-43,-65
95,-43,-60
96,-43,-64
97,-43,-66
98,-44,-63
99,-43,-60
